Task,Image,CommandLine,TargetFilename,ImageLoaded,PipeName,QueryName,EventType,TargetObject,DestinationIp,DestinationPort
3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,-,-,-,-,-,185.199.109.133,443
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.Compression.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.Compression.Native.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\IPHLPAPI.DLL,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\dnsapi.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\nsi.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\dhcpcsvc6.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\dhcpcsvc.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\winnsi.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\winhttp.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\ws2_32.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\OnDemandConnRouteHelper.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\msquic.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\winmm.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\mswsock.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\wshunix.dll,-,-,-,-,-,-
